dicom_path,pixel_read_success,pixel_read_error,file_sha256,pixel_sha256,pixel_dtype,pixel_height,pixel_width,pixel_min,pixel_max,pixel_mean,pixel_std,nonzero_fraction,is_constant
/content/external_datasets/inbreast/INbreast Release 1.0/AllDICOMs/20586908_6c613a14b80a8591_MG_R_CC_ANON.dcm,True,,b3244f7af98022f0f978407a8b72bd1014d1c89dba69c36f9f8dcc56c4a15cca,bb769bee51d9b37ead8761acf382c43d56558ce8e878a63e678a334192c173b9,uint16,4084,3328,0.0,2970.0,564.7186279296875,729.63134765625,0.38072877917106157,False
/content/external_datasets/inbreast/INbreast Release 1.0/AllDICOMs/20586934_6c613a14b80a8591_MG_L_CC_ANON.dcm,True,,ee4daa5e0a8065c4d51be25ef233cdd276bca34de5a36ebc3406c8a82dd41c2a,031de3a5e494992c407203d5cecdb4b3ff7e298b8a2fabb4af3525f15eb43afa,uint16,4084,3328,0.0,2413.0,471.5953674316406,692.2086791992188,0.32217976284091765,False
/content/external_datasets/inbreast/INbreast Release 1.0/AllDICOMs/20586960_6c613a14b80a8591_MG_R_ML_ANON.dcm,True,,a5a2ae290e1083ad5ac491abfeef830b6f746cc864a73171f84d99c8d31d2934,b298d113f8a70fde84fe3846b2dd5cac3a19ace97045215ab6bd84120eb6ce65,uint16,4084,3328,0.0,2699.0,614.2379150390625,725.0036010742188,0.42519095685319824,False
/content/external_datasets/inbreast/INbreast Release 1.0/AllDICOMs/20586986_6c613a14b80a8591_MG_L_ML_ANON.dcm,True,,a1fbeef4c80790a38ce2083693e7f036d04311c22d6db90ffbde80de73df2146,7a79cc6d262f2e956cecd98febccf64ee8e5699271304d3f5941447539a5c6af,uint16,4084,3328,0.0,3887.0,512.6834716796875,687.5172119140625,0.3653695324860619,False
/content/external_datasets/inbreast/INbreast Release 1.0/AllDICOMs/20587054_b6a4f750c6df4f90_MG_R_CC_ANON.dcm,True,,08d83aecf61fab9e373fae6a00b54763e305d39897bc018add7354c1ecdfa740,a736f089bb59b8ffbc07e3bb00cfc1cf0b482644ee81b1c3fee36031de1bee8b,uint16,3328,2560,0.0,2901.0,449.5740966796875,673.8775024414062,0.31611727201021633,False
/content/external_datasets/inbreast/INbreast Release 1.0/AllDICOMs/20587080_b6a4f750c6df4f90_MG_R_ML_ANON.dcm,True,,b1c4336e3c4e24d591fb4afc128ce414750827a20f899f3de4160c5450db141f,ec08b9fd4b568f60298383ddc0c299c7ce4bfdf8223cd582b6bda4504751e3b3,uint16,3328,2560,0.0,2336.0,626.7421875,723.4576416015625,0.44048555814302887,False
/content/external_datasets/inbreast/INbreast Release 1.0/AllDICOMs/20587148_fd746d25eb40b3dc_MG_R_CC_ANON.dcm,True,,02ad29912fef58db684e6e748c113cc86dfff08d7eeddef0504f7cff56df9c13,4820116cfefeb4bf0f50e9adc132471547cd15e3dbdfeb7b9595eab5509d0748,uint16,3328,2560,0.0,3164.0,275.3678283691406,579.552001953125,0.1865436260516827,False
/content/external_datasets/inbreast/INbreast Release 1.0/AllDICOMs/20587174_fd746d25eb40b3dc_MG_L_CC_ANON.dcm,True,,2ce561f323d601ba94f0fd83e00082256b31924c7c17d8d9907269c370958451,d204d7351a79503147768b5671a3946fefcc23731916efb5d5ec1758f77eb1c0,uint16,3328,2560,0.0,3521.0,265.9443664550781,579.1090698242188,0.17656015249399037,False
/content/external_datasets/inbreast/INbreast Release 1.0/AllDICOMs/20587200_fd746d25eb40b3dc_MG_R_ML_ANON.dcm,True,,940786fe951f2a9579a3a660d6831343a34c3ef300230b18d97e17270cd1e903,0dd1075e1c40361820efbef80a0d20c31ab4fea3e517cb7eed348ac8e7a369b0,uint16,3328,2560,0.0,3365.0,473.8302001953125,711.58740234375,0.3132341825045072,False
/content/external_datasets/inbreast/INbreast Release 1.0/AllDICOMs/20587226_fd746d25eb40b3dc_MG_L_ML_ANON.dcm,True,,113c3241f4c51c58c97e1237bcb799ba033f75c32d6e2b34486fcbbebc53a902,078a9f64879d4d0c1cc756c897c3f055d9173ab6abcd09a1d5a38f67da65ba24,uint16,3328,2560,0.0,3450.0,388.4460144042969,648.0442504882812,0.26894754263070914,False
